	msms_score	matched_peaks	feature_id	reference_id	short_inchikey
53	0.42133369741609744	11	137	58633	WQGWDDDVZFFDIG
54	0.38382983965631307	10	137	73101	HDJLSECJEQSPKW
55	0.44091273408799125	10	137	77801	ZNUNRMPPGAAKKR
56	0.31308524350851935	8	137	86852	HPIGCVXMBGOWTF
57	0.7021447966725284	12	137	87799	HITOXZPZGPXYHY
58	0.44054391822446154	11	137	93132	CETXOEGRUBXUAL
59	0.2615691071012226	8	137	119863	UOJBPVNHCNJBSQ
60	0.4805664559112947	12	137	137470	JZUPMPDVUCXPPG
61	0.4382168539453109	12	137	150270	KYRNFTRJARVVEU
62	0.2872687550341707	10	137	152480	VBPAPWZQQNJDIG
63	0.2206337041365415	10	137	157299	ZKHQSQYLKSSYIP
64	0.5838331437649367	9	137	158828	MFGALGYVFGDXIX
65	0.3631888689582024	11	137	159619	NOEGNKMFWQHSLB
66	0.3869169527116744	12	137	177046	JKAODEMHICONGQ
67	0.5417265028238397	11	137	178388	QYRHWHTUPKYDRQ
68	0.5428403713203357	11	137	197722	GGNQRNBDZQJCCN
69	0.27944808455059306	10	137	200134	GYQBROOJXNICMZ
70	0.6111740549345877	10	137	201333	XPCTZQVDEJYUGT
71	0.528804936666084	10	137	207875	OXXDGKNPRNPMLS
72	0.2934985258376681	11	137	220025	RSZZMVPSHLKFQY
73	0.4622968151428665	10	137	253548	CFGQZVOVFIZRMN
74	0.3422141560992755	8	137	274348	OVOCLWJUABOAPL
75	0.251040003804288	9	137	274477	BNYIQEFWGSXIKQ
76	0.45436780830267254	10	137	281929	RQZSMDBBVOOYQY
77	0.4003891040956422	7	140	2371	ZXCYXCIWKAILMP
78	0.48845562212679666	7	140	4435	XSYMIGQPHRRODH
79	0.42942463853416735	7	140	37018	NCKMZWFKQTWDTD
80	0.37138831579972204	8	140	62347	WXUISPWOIMGQAO
81	0.20663348736766926	7	140	77280	CWNNYYIZGGDCHS
82	0.32972615212625217	7	140	89259	HSBSUGYTMJWPAX
83	0.47527022339686553	7	140	97079	OIYTYGOUZOARSH
84	0.437270764847447	8	140	115915	FUJVJJBVXLPRQJ
85	0.27309735184484657	7	140	138476	PBEXSRJMCVDBFK
86	0.6199191504179999	7	140	177151	LDCRTTXIJACKKU
87	0.31160024489331656	7	140	192246	WIURKZVZWYELHL
88	0.5976507226526446	7	140	242361	OLUFKMOMLQRPFO
89	0.4380621385547342	7	140	242918	NDMFFFIEEMTJKS
90	0.4269725199745118	8	140	253487	BWEICTHJUIJQPH
91	0.3094097790634151	7	140	270215	WVBINZLSBQRJFB
92	0.2974185272671937	9	142	142886	FARVADBFLOKZOE
93	0.7135477491691737	13	143	164044	DGBJQQBLTDLFMF
94	0.3614540371352592	9	143	251374	GMKMEZVLHJARHF
95	0.42748236134314027	18	144	56518	ZJZBIAZGHDAGMX
96	0.3090282745081625	8	144	83664	WVJSQIHNASRFLV
97	0.40535315046632275	17	144	146364	BVWVCEXCZIBXPX
98	0.3344396257246332	17	144	162441	BAKMIYSFUAOLMJ
99	0.38990715463184117	14	144	171841	NKLDEZFNTHSPHS
100	0.35262721412994513	20	144	173003	JGXRBDRZSIWUMA
101	0.38349056162866785	20	144	181012	YYTGHQVYMJKFGK
102	0.32486921502893984	16	144	193680	FPTZKCWZFSLWFJ
103	0.32098633688381634	13	144	229003	AYDBBWJGHVYDQE
104	0.20036812996279443	10	144	276294	HRSCGKVISDRQDA
105	0.27769926610866646	10	145	209998	ATBAETXFFCOZOY
106	0.2687411556602441	16	145	242258	BGQVVTJSMBYUHC
107	0.2623666788937612	17	145	250141	FLBYXYAXXCTQAW
108	0.3766981023000429	13	149	55651	WSGHUGWVKPRZLP
109	0.43413753097927965	10	149	145649	SGNGKKZHLCBIOI
110	0.6521707423380197	11	158	17418	SRXKAYJJGAAOBP
111	0.25483584982649654	10	158	96825	ZKEKFTZCGWFNSA
112	0.4997753707194928	10	158	162648	JRLGPAXAGHMNOL
113	0.26475289201900165	11	158	220225	DATAGRPVKZEWHA
114	0.6353376311782332	11	159	45484	WJGYUTHBDPPYCA
115	0.729389839626154	14	159	195579	RHGKLRLOHDJJDR
116	0.3211173907618511	8	160	49608	UGJBVRSUYCCUKX
117	0.38104866092569234	8	160	167241	IFPBIHSHJPJPCA
118	0.3461686070509979	9	160	203194	UHDGCWIWMRVCDJ
119	0.33096110487735336	7	160	215566	YVSVKJNOAOPSMA
120	0.34469451260979006	7	160	218342	CZXSXWCDGILMHI
121	0.7375351220135826	12	160	239728	QUAADUAOVLZBJM
122	0.28194130703758086	10	162	201047	JYGCFKIEXRCHGG
123	0.3523694393671257	7	165	42814	UVOPIJQQMRLUAD
124	0.2005087750787304	8	165	207267	SRPREECLSOIPNK
125	0.30307454334639206	8	165	219462	NESFDGDRYVANBC
126	0.3502964443194474	7	165	225523	BZIUQZRSHNDQTH
127	0.2913796079984498	7	165	287547	XKECCYGTTKNLOC
128	0.20468576495941476	8	167	274463	JHQRXBPSJKWMKP
129	0.20994162295900332	9	171	39413	QFHMNFAUXJAINK
130	0.678331852278478	11	171	155780	ODKSFYDXXFIFQN
131	0.5343044934134689	9	171	200991	GFAXSDSHYATBAW
132	0.4264278911041516	9	173	17451	LDPADGWFJFHTLH
133	0.6133255864293795	15	173	77037	MDLTWTOQCHCLSZ
134	0.8958792811570414	18	174	284591	RWSXRVCMGQZWBV
135	0.2130809116148277	12	181	128182	VXUYDUOMEUFAII
136	0.4050860291554535	8	208	42814	UVOPIJQQMRLUAD
137	0.22427484488987753	8	208	207267	SRPREECLSOIPNK
138	0.36213247818834593	9	208	219462	NESFDGDRYVANBC
139	0.3949179795844501	7	208	221048	HHHSDALINJTNBE
140	0.37095442134006174	9	208	225523	BZIUQZRSHNDQTH
141	0.3155103210429631	8	208	287547	XKECCYGTTKNLOC
142	0.9068542850507468	17	211	284591	RWSXRVCMGQZWBV
143	0.3186713429482603	10	214	20806	QWDCXCRLPNMJIH
144	0.27562564177946897	8	214	39057	ULXKXLZEOGLCRJ
145	0.22104277480426837	10	214	77893	ZOJZYAPVVOLQQB
146	0.2941214028575722	11	214	132708	NLCITBUDQXHLLX
147	0.2737401440740286	10	214	135100	SGNZYJXNUURYCH
148	0.3760501024371793	7	214	176404	VVNCNSJFMMFHPL
