formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C4H7BrClN2O2	[M + K]+	C4H7BrClKN2O2+	0.829	0.811	23.577	23.577	0.000	6	0.193	3.572	3.572	3.750		267.902	23	0.387	707666736454182132	707666500969166110	154	
1	C9H9ClN2O5S2	[M + K]+	C9H9ClKN2O5S2+	0.999	1.000	65.675	65.675	0.000	31	0.643	0.380	3.440	-2.684		362.926	23	0.387	707666808071927977	707666498662298602	77	
1	C5H10O3P2S2	[M - H2O + H]+	C5H9O2P2S2+	0.220	0.147	9.960	8.657	1.303	1	0.635	2.375	2.375	-79356.608		226.952	23	0.388	707666728241734476	707666498800710654	82	
1	C4H6Cl2O4S	[M + Na]+	C4H6Cl2NaO4S+	1.000	0.999	17.525	17.525	0.000	7	0.094	3.233	3.233	1.500		242.926	23	0.389	707666743106348759	707666498628744166	76	
1	C4H4Br2N2O3	[M - H2O + H]+	C4H3Br2N2O2+	0.412	0.306	0.692	0.692	0.000	1	0.003	-2.971	2.971	-66992.091		268.855	23	0.390	707666771048803589	707666499006231574	88	
1	C3H2BrFO2	[M + K]+	C3H2BrFKO2+	0.996	0.992	3.703	3.703	0.000	1	0.018	5.050	5.050	3.975		206.886	24	0.392	707666757635418507	707666499203363886	94	
1	C6H10O2S	[M + H3N + H]+	C6H14NO2S+	0.992	0.333	65.989	61.272	4.717	8	0.953	7.892	7.892	1.913		164.074	24	0.393	707666719043625364	707666499039786010	89	
1	C5H13ClN4O3	[M + K]+	C5H13ClKN4O3+	0.781	0.609	33.841	33.841	0.000	15	0.118	2.313	2.313	0.832		251.031	24	0.394	707666755773147430	707666499132060710	92	
1	C6H14N4O2	[M + K]+	C6H14KN4O2+	0.999	1.000	28.246	28.246	0.000	9	0.106	2.158	2.158	1.085		213.075	24	0.395	707666721631511034	707666499165615146	93	
1	C7H12N2O8	[M - H2O + H]+	C7H11N2O7+	0.316	0.294	15.399	13.501	1.898	4	0.320	0.684	3.978	-76617.182		235.057	24	0.396	707666768645467185	707666499102700578	91	
1	C7H7ClNO2PS	[M - H2O + H]+	C7H6ClNOPS+	0.550	0.003	10.456	10.456	0.000	4	0.195	1.951	1.951	-82628.488		217.960	24	0.396	707666725448327855	707666499849286790	116	
1	C6H11N3O2	[M + H3N + H]+	C6H15N4O2+	1.000	0.333	87.516	82.382	5.133	21	0.654	2.024	2.024	1.815		175.119	24	0.400	707666716946473286	707666499245306930	95	
1	C4H6Cl3FN2O3	[M - H2O + H]+	C4H5Cl3FN2O2+	0.469	0.184	34.278	32.682	1.596	10	0.248	0.967	1.009	-76016.136		236.939	24	0.404	707666762656000717	707666499715069042	111	
1	C6H14Cl2N4O8	[M + K]+	C6H14Cl2KN4O8+	0.980	0.999	37.334	37.334	0.000	24	0.859	1.765	1.765	0.272		378.982	24	0.405	707666793505108807	707666499316610106	97	
1	C5H3BrFNO	[M + H3N + H]+	C5H7BrFN2O+	0.837	0.098	17.191	14.905	2.286	2	0.111	3.218	3.218	3.926		208.973	24	0.406	707666753772464317	707666499274667062	96	
1	C6H11N3O2	[M + H3N + H]+	C6H15N4O2+	1.000	0.333	37.431	37.431	0.000	6	0.049	1.642	1.642	1.244		175.119	24	0.407	707666758159706583	707666501740918114	171	
1	C4H5F3N2O	[M + K]+	C4H5F3KN2O+	0.982	0.992	20.137	14.931	5.206	3	0.260	0.785	1.498	1.992		192.999	25	0.411	707666731139998694	707666499345970238	98	
1	C3H9N2O5P	[M + K]+	C3H9KN2O5P+	0.997	0.999	43.107	41.255	1.852	10	0.239	2.863	2.863	1.766		222.988	25	0.411	707666746470180796	707666499371136066	99	
1	C13H13ClN3O4	[M + Na]+	C13H13ClN3NaO4+	0.423	0.277	35.905	35.905	0.000	32	0.621	1.455	1.467	1.834		333.049	25	0.412	707666767663999983	707666499404690502	100	
