"feature_id_full","feature_id","feature_mz","feature_rt","control_negative_vs_control_positive_p_value","control_negative_vs_P2_negative_p_value","control_negative_vs_P2_positive_p_value","control_positive_vs_P2_negative_p_value","control_positive_vs_P2_positive_p_value","P2_negative_vs_P2_positive_p_value","control_negative_vs_control_positive_p_value_minus_log10","control_negative_vs_P2_negative_p_value_minus_log10","control_negative_vs_P2_positive_p_value_minus_log10","control_positive_vs_P2_negative_p_value_minus_log10","control_positive_vs_P2_positive_p_value_minus_log10","P2_negative_vs_P2_positive_p_value_minus_log10","P2_negative_vs_P2_positive_fold_change","control_positive_vs_P2_positive_fold_change","control_negative_vs_P2_positive_fold_change","control_positive_vs_P2_negative_fold_change","control_negative_vs_P2_negative_fold_change","control_negative_vs_control_positive_fold_change","P2_negative_vs_P2_positive_fold_change_log2","control_positive_vs_P2_positive_fold_change_log2","control_negative_vs_P2_positive_fold_change_log2","control_positive_vs_P2_negative_fold_change_log2","control_negative_vs_P2_negative_fold_change_log2","control_negative_vs_control_positive_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"2631_130.15_11.3",2631,130.151673163432,11.258704,0.00363626560053032,0.00106547565398096,0.000798608073605989,0.99998527569028,0.979484237647949,0.91012633817662,2.43934440250399,2.9724564694247,3.09766630357719,6.39473354048223e-06,0.00900254849782861,0.0408983173881754,1.02394305891599,1.02198061022946,1.83847465465541,0.998083439631285,1.79548524563634,1.79893300934803,0.0341354898461146,0.0313678246599041,0.878509287580102,-0.00276766518621034,0.844373797733988,0.847141462920198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"915_349.24_4.9",915,349.237435256847,4.942907,0.00394368172259396,0.00126886053671249,0.0039060658958866,0.998507755863838,0.45540572024943,0.213381448157885,2.404098142336,2.89658610955593,2.40826043437675,0.000648557417429273,0.34160151861073,0.670843341766724,1.18186635362029,1.2058848512369,0.605963764524103,1.02032251577603,0.51271767122223,0.502505495365128,0.24106690364536,0.270092152278818,-0.722696569018137,0.0290252486334572,-0.963763472663497,-0.992788721296955,"Alkaloids","Pseudoalkaloids (transamidation)","Imidazole alkaloids","N-[1-bis(2-formamido-2-methylpropyl)phosphanyl-2-methylpropan-2-yl]formamide",NA,"CC[C@H]1C(=O)C[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)[C@]5(O)C[C@]4(CO5)[C@H]3CC[C@]12C","CC(C)(CP(CC(C)(C)NC=O)CC(C)(C)NC=O)NC=O",NA,NA,NA,NA,"YTQLYPLDMHKTML","InChI=1S/C21H32O4/c1-3-14-17(22)9-16-13-5-4-12-8-18(23)21(24)10-20(12,11-25-21)15(13)6-7-19(14,16)2/h12-16,18,23-24H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18+,19+,20+,21-/m0/s1","YTQLYPLDMHKTML-JHZVCAIQSA-N","InChI=1S/C15H30N3O3P/c1-13(2,16-10-19)7-22(8-14(3,4)17-11-20)9-15(5,6)18-12-21/h10-12H,7-9H2,1-6H3,(H,16,19)(H,17,20)(H,18,21)","PTNRDIQCOIEAAG"
"2810_750.41_11.7",2810,750.407575630055,11.688283,0.0039985418039491,0.00337436359953969,0.00218154262283643,0.551077229204328,0.830298778033892,0.831649725181038,2.39809835916166,2.47180812246836,2.66123629737722,0.258787533876036,0.0807656012355209,0.0800595516564424,1.03786974486163,0.945276890430205,1.84399474161927,0.910785669502513,1.7767111439067,1.95074560722631,0.0536253933742279,-0.0811911095338844,0.882834541748478,-0.134816502908112,0.82920914837425,0.964025651282362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068_334.3_5.8",1068,334.296845092249,5.819562,0.004109590679925,0.00254280369575399,0.00139297014057649,0.755384408591165,0.995720913286605,0.632403050906199,2.38620143221211,2.59468716603016,2.8560581929241,0.121831983411992,0.00186237121903737,0.199006043565048,0.908646929607986,1.02953488944384,0.514767444721922,1.13304173039798,0.56652086519899,0.5,-0.138208275554481,0.041992721640606,-0.958007278359394,0.180200997195087,-0.819799002804913,-1,"Fatty acids","Glycerolipids","Monoacylglycerols","(1-Hydroxy-3-tridecoxypropan-2-yl) acetate",NA,NA,"CCCCCCCCCCCCCOCC(CO)OC(=O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C18H36O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-21-16-18(15-19)22-17(2)20/h18-19H,3-16H2,1-2H3","RHCIFNALYFFESQ"
"1312_318.3_6.7",1312,318.302292424598,6.680587,0.00469712306240178,0.00271801068341593,0.00293819501228854,0.811386080889827,0.763996968902676,0.998657542940793,2.32816806135776,2.56574884056178,2.53191938283094,0.0907724467729191,0.116908364449773,0.000583413384391402,1.01156107136317,1.13428197537922,0.567140987689611,1.12131833409789,0.560659167048945,0.5,0.0165834229046549,0.181779329797378,-0.818220670202621,0.165195906892724,-0.834804093107276,-1,NA,NA,NA,NA,NA,"CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO",NA,NA,NA,NA,NA,"AERBNCYCJBRYDG","InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h16-18,20-22H,2-15,19H2,1H3/t16-,17+,18-/m0/s1","AERBNCYCJBRYDG-KSZLIROESA-N",NA,NA
"458_324.23_2.4",458,324.228503659493,2.44969,0.00499669997674979,0.741368096273769,0.477356459796857,0.000705664308427334,0.000508438441490955,0.854412908972892,2.30131672667384,0.129966107152393,0.321157195996016,3.15140184805411,3.29376162118598,0.0683321986894162,1.02827734335836,1.92038516441743,1.09129224156576,1.86757510201035,1.06128200588529,0.568267377704312,0.0402294356632567,0.941395695876863,0.126037498544713,0.901166260213606,0.0858080628814564,-0.815358197332149,"Alkaloids","Lysine alkaloids","Piperidine alkaloids","Barbituric acid, 1,3-dicyclohexyl-5-methyl-",NA,"CCC(C)C(NC)C(=O)NC(CCC1C=CC(N)C=C1)C(=O)O","CC1C(=O)N(C(=O)N(C1=O)C2CCCCC2)C3CCCCC3",NA,NA,NA,NA,"ATAHFPOIIFBWFN","InChI=1S/C17H29N3O3/c1-4-11(2)15(19-3)16(21)20-14(17(22)23)10-7-12-5-8-13(18)9-6-12/h5-6,8-9,11-15,19H,4,7,10,18H2,1-3H3,(H,20,21)(H,22,23)","ATAHFPOIIFBWFN-UHFFFAOYSA-N","InChI=1S/C17H26N2O3/c1-12-15(20)18(13-8-4-2-5-9-13)17(22)19(16(12)21)14-10-6-3-7-11-14/h12-14H,2-11H2,1H3","ILCHAUPJKKIXPX"
"1283_302.31_6.6",1283,302.30697683148,6.6208005,0.0071335112435067,0.00489688172172564,0.00460428534554991,0.756766783662221,0.792237548177486,0.99946230453364,2.14669664990649,2.31008038571473,2.33683776928255,0.121037938430776,0.101144578013717,0.000233580977329933,0.991068162629731,1.13595569514381,0.571439591412467,1.14619330736004,0.576589595912547,0.503047428570817,-0.0129438099214915,0.183906567551414,-0.807327099992672,0.196850377472905,-0.794383290071181,-0.991233667544086,NA,NA,NA,NA,"CCCCCCCCCCCCCCN(CCO)CCO",NA,NA,"1S/C18H39NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-19(15-17-20)16-18-21/h20-21H,2-18H2,1H3",NA,"CPHJEACXPATRSU-UHFFFAOYSA-N","CPHJEACXPATRSU",NA,NA,NA,NA,NA
"1289_302.31_6.6",1289,302.306876513,6.6300254,0.00716676324682941,0.00419910024437109,0.00418824416473629,0.845296727613538,0.84663482649547,0.999999957734884,2.14467694215999,2.37684375740361,2.37796800791329,0.0729908122997944,0.0723038707028801,1.83555069792468e-08,0.999611725637031,1.11825609620741,0.564841949615412,1.1186904550312,0.56506134845052,0.505109653800311,-0.00056027027429132,0.16125062326022,-0.824080856393881,0.161810893534511,-0.82352058611959,-0.985331479654101,NA,NA,NA,NA,"CCCCCCCCCCCCCCN(CCO)CCO",NA,NA,"1S/C18H39NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-19(15-17-20)16-18-21/h20-21H,2-18H2,1H3",NA,"CPHJEACXPATRSU-UHFFFAOYSA-N","CPHJEACXPATRSU",NA,NA,NA,NA,NA
"2418_138.1_10.6",2418,138.104042788205,10.5753975,0.00813516369411305,0.00203993944527225,0.00378848119086461,0.995193182786309,0.949747301377762,0.650718733818844,2.08963370385376,2.69038272422824,2.42153486460407,0.00209260762153253,0.0223919317805195,0.186606689997307,0.950180055494715,0.9648538268876,1.71935572899749,1.01544314817811,1.80950517647131,1.78198570714461,-0.0737271703327237,-0.0516177008980672,0.781868064517165,0.0221094694346563,0.855595234849888,0.833485765415232,"Alkaloids","Nicotinic acid alkaloids","Pyridine alkaloids","2-ethenyl-6-methylpyrazine",NA,"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O","CC1=CN=CC(=N1)C=C",NA,NA,NA,NA,"NPAGDVCDWIYMMC","InChI=1S/C18H26O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h10,13-17,20H,2-9H2,1H3/t13-,14+,15+,16-,17-,18-/m0/s1","NPAGDVCDWIYMMC-IZPLOLCNSA-N","InChI=1S/C7H8N2/c1-3-7-5-8-4-6(2)9-7/h3-5H,1H2,2H3","KZXOOWGVLDEHDT"
"1315_318.3_6.7",1315,318.301883205123,6.684939,0.00883950792313404,0.00942855578850588,0.00511439980879491,0.532942340125986,0.86983464363814,0.733223403160361,2.05357191057694,2.02555482487843,2.29120532481057,0.273319775438147,0.060563299313523,0.134763681596897,0.916239051883085,1.11765261268463,0.558826306342317,1.21982643109088,0.609913215545439,0.5,-0.126204040263937,0.160471841279319,-0.839528158720681,0.286675881543257,-0.713324118456743,-1,NA,NA,NA,NA,"CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO","CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO",NA,"InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h16-18,20-22H,2-15,19H2,1H3/t16-,17+,18-/m0/s1","AERBNCYCJBRYDG-KSZLIROESA-N","AERBNCYCJBRYDG-KSZLIROESA-N","AERBNCYCJBRYDG","AERBNCYCJBRYDG","InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h16-18,20-22H,2-15,19H2,1H3/t16-,17+,18-/m0/s1","AERBNCYCJBRYDG-KSZLIROESA-N",NA,NA
"1672_279.16_7.9",1672,279.160620485454,7.8620796,0.0101742273720465,0.999801240400355,0.998530966200507,0.00291920606982576,0.00354941930111841,0.981148255084794,1.99249856105086,8.63287769721198e-05,0.00063846234913907,2.53473524662577,2.44984269340935,0.00826536417918756,1.02954976970989,0.571349187557498,1.01935404350641,0.554950527276106,0.990096907887844,1.78411742889513,0.042013573319471,-0.807555357735334,0.027655217449568,-0.849568931054806,-0.014358355869903,0.835210575184902,NA,NA,NA,NA,"CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC","CCCCCCCCOC(=O)c1ccccc1C(=O)O",NA,"\"\"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3\"\"",NA,"DOIRQSBPFJWKBE-UHFFFAOYSA-N","DOIRQSBPFJWKBE","PKIYFBICNICNGJ","InChI=1S/C16H22O4/c1-2-3-4-5-6-9-12-20-16(19)14-11-8-7-10-13(14)15(17)18/h7-8,10-11H,2-6,9,12H2,1H3,(H,17,18)","PKIYFBICNICNGJ-UHFFFAOYSA-N",NA,NA
"2376_666.61_10.4",2376,666.610763931164,10.390471,0.010538948036629,0.0138898714795198,0.0120636883140615,0.45319746043673,0.521898029773665,0.99572569096067,1.9772027368168,1.85730177269245,1.91851989206713,0.343712532439277,0.282414342654102,0.00186028738964624,0.982013181548053,1.23141914881508,0.615709574407538,1.25397415427139,0.626987077135695,0.5,-0.0261857049437541,0.300321908037698,-0.699678091962302,0.326507612981453,-0.673492387018547,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398_163_2.1",398,162.998472609156,2.1198535,0.0106421337073285,0.00741869437647291,0.0072874744733582,0.793950598140345,0.803342191447202,0.999988965939792,1.97297128891908,2.12967251992124,2.13742295348152,0.100206519767518,0.0950994233372048,4.79205789933441e-06,1.0016289099694,0.928392705049971,1.82532709109477,0.926882896259783,1.82235863294973,1.96611528846139,0.00234810842507591,-0.107192908298868,0.868155012166468,-0.109541016723944,0.865806903741391,0.975347920465336,"Amino acids and Peptides","Histidine alkaloids","Imidazole alkaloids","Acetamide, 2,2'-dithiodi-",NA,NA,"C(C(=O)N)SSCC(=O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H8N2O2S2/c5-3(7)1-9-10-2-4(6)8/h1-2H2,(H2,5,7)(H2,6,8)","WFVWTLVPOUCKBR"
