	Arabidopsis thaliana_vs_NA_fold_change_log2	Arabidopsis thaliana_vs_NA_p_value
8-(methylthio)octylisothiocyanate	-0.00943537044022051	0.914561381924164
polidocanol	0.182759096272275	0.193783595938448
nosyl group	-0.766906543856345	0.237151869895062
(carboxymethoxy)succinic acid	-0.0471130957953752	0.645376309227823
Hydroxyphenylpyruvic acid	0.447760804227597	0.512130899091138
N'-[2-(4-iodophenyl)ethyl]carbamimidothioic acid 3-(1H-imidazol-5-yl)propyl ester	-0.0271230763786741	0.577916227787836
diphenyl(4-piperidinyl)methanol	-0.0381361199758673	0.6603684169159
2-(2-imidazo[1,2-a]pyridinylmethylthio)-6-nitro-1H-benzimidazole	0.285125696660931	0.521605489917164
N,N,N-Trimethyllysine	-0.0603611427771387	0.790079886851591
2-methylglutaric acid	-0.647692496612528	0.15451515951169
2-Methyl-3-(2',3',4'-trihydroxybutyl)pyrazine	-0.0138164227455149	0.953934142319131
4-(phosphonomethyl)-L-phenylalanine	0.0937325610735328	0.0345849397243398
2-ethyl-3-hydroxybutyric acid	-0.882890528651794	0.143538686682306
Tetraethylene glycol monododecyl ether	0.477115822430954	0.559565843938866
N-(3-acetylphenyl)-5,7-dimethyl-2-pyrazolo[1,5-a]pyrimidinecarboxamide	-0.228503238945214	0.864106566652424
N,N-dihydroxytetrahomomethionine	-0.703325617753052	0.623126223578805
etilamfetamine	-0.718366997369181	0.317827520470254
2-hydroxy-3,4-diphenylpentanedioic acid	-0.727836277731536	0.270379511641491
tetradecaethylene glycol	-1.73890538199138	0.282578992296244
triethylene glycol monomethyl ether	-1.51653110549827	0.604227958089647
3,6,9,12,15,18-Hexaoxadotriacontan-1-ol	-2.0337313517357	0.338486366534106
2,2-dimethyl-3,6,9,12,15-pentaoxa-2-silahexadecane	-2.36394357424666	0.543161980318402
15-crown-5	-1.44551884007938	0.0504995862932436
Sesamex	-0.0193369897902013	0.812062190004076
tetraglyme	-1.56241808888178	0.541067765516724
18-crown-6	-0.890056056361354	0.26726175795353
hexaethylene glycol monomethyl ether	-1.33245871466982	0.222982465219318
panaquinquecol 1	-0.537341853226415	0.595816642178315
1H-indazole-3-carboxylic acid [2-(4-nitroanilino)-2-oxoethyl] ester	-0.541785268733304	0.734371172283591
p-cumate	-0.714787501169831	0.179479481204499
ozagrel	-0.78161158324581	0.303700378339926
N-[2-(2-chlorophenoxy)ethyl]-2-(1H-indol-3-yl)-2-oxoacetamide	-0.630677101782578	0.33299736401568
2-(Methylthiomethyl)-3-phenyl-2-propenal	0.046665580931005	0.326521157024747
BAY11-7085	-0.75716348149858	0.448814258574654
undecan-5-ol	-0.537230740436892	0.390207539231503
6-methyl-dodecanedioic acid	-0.134179699686104	0.0304644851221876
3-methoxy-N-(4-methyl-2-thiazolyl)benzamide	-0.455897892187615	0.845170490174917
dodecanamide	-0.0771457543481282	0.666760213867107
N-[(2-fluorophenyl)methylideneamino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide	-0.709202971188148	0.495508405042528
(13Z)-docosen-1-ol	0.178124426912415	0.851125836092311
Hydroxytetradecadienyl-l-carnitine	-2.03060416868763	0.597002539380492
3-oxotetradecanoic acid	-0.0364369858235625	0.948065474463872
N,N-dibutyl-2-[[2-(1,3-dioxo-2-isoindolyl)-1-oxoethyl]amino]benzamide	-0.0235428212546367	0.864967086346062
3-oxotetradecanedioyl-CoA(5-)	-0.0278571394802877	0.718486904936971
